Algorithm,Solution Cost,Solution Length,Expanded Nodes,Size,Time,epsilon
GBFS,164,159,377,64,0.004990816,0
,,,,,,
GBFS,134,135,270,64,0.001992702,0
,,,,,,
eGFBS,134,135,272,64,0.00199151,0.1
,,,,,,
eGFBS,134,135,274,64,0.003986359,0.2
,,,,,,
eGFBS,144,139,316,64,0.004984379,0.3
,,,,,,
eGFBS,144,139,341,64,0.00600791,0.4
,,,,,,
eGFBS,134,135,350,64,0.007999659,0.5
,,,,,,
eGFBS,134,135,366,64,0.01099062,0.6
,,,,,,
eGFBS,134,135,402,64,0.016970158,0.7
,,,,,,
eGFBS,144,139,486,64,0.034910917,0.8
,,,,,,
eGFBS,134,135,281,64,0.004013538,0.1
,,,,,,
eGFBS,134,135,290,64,0.003029108,0.2
,,,,,,
eGFBS,134,135,322,64,0.005003691,0.3
,,,,,,
eGFBS,134,135,314,64,0.005003214,0.4
,,,,,,
eGFBS,134,135,346,64,0.006998539,0.5
,,,,,,
eGFBS,144,139,410,64,0.014972448,0.6
,,,,,,
eGFBS,134,135,402,64,0.016981125,0.7
,,,,,,
eGFBS,150,145,584,64,0.048856258,0.8
,,,,,,
eGFBS,134,135,260,64,0.002018452,0.1
,,,,,,
eGFBS,134,135,311,64,0.004006863,0.2
,,,,,,
eGFBS,134,135,298,64,0.004005909,0.3
,,,,,,
eGFBS,144,139,321,64,0.005999088,0.4
,,,,,,
eGFBS,134,135,343,64,0.007988691,0.5
,,,,,,
eGFBS,134,135,362,64,0.009990215,0.6
,,,,,,
eGFBS,142,137,449,64,0.022943258,0.7
,,,,,,
eGFBS,146,141,518,64,0.037896633,0.8
,,,,,,
eGFBS,152,147,375,64,0.004011393,0.1
,,,,,,
eGFBS,134,135,302,64,0.00301075,0.2
,,,,,,
eGFBS,134,135,304,64,0.004007578,0.3
,,,,,,
eGFBS,144,139,329,64,0.005999804,0.4
,,,,,,
eGFBS,134,135,362,64,0.006999016,0.5
,,,,,,
eGFBS,134,135,376,64,0.011979818,0.6
,,,,,,
eGFBS,144,139,475,64,0.019952536,0.7
,,,,,,
eGFBS,140,141,597,64,0.057833433,0.8
,,,,,,
eGFBS,134,135,290,64,0.002016783,0.1
,,,,,,
eGFBS,134,135,291,64,0.003020763,0.2
,,,,,,
eGFBS,134,135,305,64,0.004007578,0.3
,,,,,,
eGFBS,134,135,330,64,0.005003929,0.4
,,,,,,
eGFBS,134,135,347,64,0.007992268,0.5
,,,,,,
eGFBS,134,135,358,64,0.010999203,0.6
,,,,,,
eGFBS,138,139,396,64,0.016984701,0.7
,,,,,,
eGFBS,142,137,538,64,0.046866179,0.8
,,,,,,
eGFBS,134,135,248,64,0.002013922,0.1
,,,,,,
eGFBS,134,135,294,64,0.004010916,0.2
,,,,,,
eGFBS,134,135,307,64,0.004006624,0.3
,,,,,,
eGFBS,138,139,333,64,0.006000042,0.4
,,,,,,
eGFBS,144,139,366,64,0.007999659,0.5
,,,,,,
eGFBS,134,135,380,64,0.010981798,0.6
,,,,,,
eGFBS,144,139,444,64,0.02294302,0.7
,,,,,,
eGFBS,134,135,500,64,0.033886433,0.8
,,,,,,
eGFBS,134,135,284,64,0.002020359,0.1
,,,,,,
eGFBS,138,139,317,64,0.003013372,0.2
,,,,,,
eGFBS,144,139,343,64,0.005002975,0.3
,,,,,,
eGFBS,134,135,327,64,0.005009413,0.4
,,,,,,
eGFBS,154,149,459,64,0.01297617,0.5
,,,,,,
eGFBS,134,135,365,64,0.009986877,0.6
,,,,,,
eGFBS,148,143,451,64,0.022922754,0.7
,,,,,,
eGFBS,134,135,461,64,0.029919147,0.8
,,,,,,
eGFBS,134,135,266,64,0.00201273,0.1
,,,,,,
eGFBS,134,135,305,64,0.004022837,0.2
,,,,,,
eGFBS,134,135,300,64,0.004006386,0.3
,,,,,,
eGFBS,134,135,316,64,0.007995367,0.4
,,,,,,
eGFBS,130,131,354,64,0.008005381,0.5
,,,,,,
eGFBS,140,135,416,64,0.01395154,0.6
,,,,,,
eGFBS,134,135,397,64,0.013975143,0.7
,,,,,,
eGFBS,144,139,493,64,0.034902096,0.8
,,,,,,
eGFBS,134,135,287,64,0.002013445,0.1
,,,,,,
eGFBS,134,135,292,64,0.003017187,0.2
,,,,,,
eGFBS,134,135,303,64,0.004006147,0.3
,,,,,,
eGFBS,134,135,315,64,0.005999088,0.4
,,,,,,
eGFBS,140,141,317,64,0.005999327,0.5
,,,,,,
eGFBS,134,135,377,64,0.009986877,0.6
,,,,,,
eGFBS,144,139,420,64,0.019958496,0.7
,,,,,,
eGFBS,150,145,614,64,0.062328577,0.8
,,,,,,
eGFBS,134,135,290,64,0.003013372,0.1
,,,,,,
eGFBS,134,135,309,64,0.004014492,0.2
,,,,,,
eGFBS,134,135,296,64,0.004006863,0.3
,,,,,,
eGFBS,134,135,307,64,0.005005598,0.4
,,,,,,
eGFBS,144,139,384,64,0.016965151,0.5
,,,,,,
eGFBS,144,139,384,64,0.023357868,0.6
,,,,,,
eGFBS,134,135,409,64,0.03791976,0.7
,,,,,,
eGFBS,158,147,628,64,0.083676815,0.8
,,,,,,
GBFS,144,145,252,72,0.004988194,0
,,,,,,
eGFBS,150,151,341,72,0.008012056,0.1
,,,,,,
eGFBS,150,151,350,72,0.012064695,0.2
,,,,,,
eGFBS,150,151,398,72,0.019980669,0.3
,,,,,,
eGFBS,150,151,444,72,0.026047945,0.4
,,,,,,
eGFBS,194,183,571,72,0.054780006,0.5
,,,,,,
eGFBS,172,173,601,72,0.084854126,0.6
,,,,,,
eGFBS,146,147,443,72,0.060096502,0.7
,,,,,,
eGFBS,150,151,558,72,0.142993212,0.8
,,,,,,
eGFBS,144,145,278,72,0.007012367,0.1
,,,,,,
eGFBS,150,151,351,72,0.012027264,0.2
,,,,,,
eGFBS,150,151,459,72,0.022411346,0.3
,,,,,,
eGFBS,198,187,574,72,0.042503834,0.4
,,,,,,
eGFBS,150,151,436,72,0.031348944,0.5
,,,,,,
eGFBS,204,193,637,72,0.090687275,0.6
,,,,,,
eGFBS,148,149,435,72,0.057136297,0.7
,,,,,,
eGFBS,144,145,499,72,0.149639606,0.8
,,,,,,
eGFBS,144,145,274,72,0.006974936,0.1
,,,,,,
eGFBS,150,151,341,72,0.011962652,0.2
,,,,,,
eGFBS,144,145,305,72,0.018081903,0.3
,,,,,,
eGFBS,150,151,387,72,0.023030281,0.4
,,,,,,
eGFBS,150,151,390,72,0.028897285,0.5
,,,,,,
eGFBS,196,185,639,72,0.130017281,0.6
,,,,,,
eGFBS,144,145,408,72,0.064806461,0.7
,,,,,,
eGFBS,194,183,845,72,0.327708483,0.8
,,,,,,
eGFBS,144,145,271,72,0.007962704,0.1
,,,,,,
eGFBS,150,151,349,72,0.013157845,0.2
,,,,,,
eGFBS,198,187,531,72,0.032878637,0.3
,,,,,,
eGFBS,150,151,374,72,0.019928217,0.4
,,,,,,
eGFBS,198,187,596,72,0.065819025,0.5
,,,,,,
eGFBS,162,163,565,72,0.059673309,0.6
,,,,,,
eGFBS,198,187,742,72,0.17100215,0.7
,,,,,,
eGFBS,152,153,691,72,0.182896614,0.8
,,,,,,
eGFBS,144,145,268,72,0.007063389,0.1
,,,,,,
eGFBS,150,151,346,72,0.014956236,0.2
,,,,,,
eGFBS,198,187,577,72,0.035953045,0.3
,,,,,,
eGFBS,150,151,386,72,0.023433447,0.4
,,,,,,
eGFBS,194,183,589,72,0.060802698,0.5
,,,,,,
eGFBS,150,151,564,72,0.062332153,0.6
,,,,,,
eGFBS,170,171,678,72,0.158998251,0.7
,,,,,,
eGFBS,150,151,547,72,0.154649734,0.8
,,,,,,
eGFBS,144,145,269,72,0.007363319,0.1
,,,,,,
eGFBS,150,151,361,72,0.011962891,0.2
,,,,,,
eGFBS,150,151,386,72,0.020983696,0.3
,,,,,,
eGFBS,144,145,325,72,0.01741147,0.4
,,,,,,
eGFBS,150,151,482,72,0.038868189,0.5
,,,,,,
eGFBS,198,187,628,72,0.089705944,0.6
,,,,,,
eGFBS,168,169,718,72,0.169430256,0.7
,,,,,,
eGFBS,198,187,841,72,0.350815296,0.8
,,,,,,
eGFBS,144,145,265,72,0.004982233,0.1
,,,,,,
eGFBS,144,145,297,72,0.009253979,0.2
,,,,,,
eGFBS,150,151,378,72,0.016939402,0.3
,,,,,,
eGFBS,150,151,364,72,0.022125006,0.4
,,,,,,
eGFBS,150,151,449,72,0.033878088,0.5
,,,,,,
eGFBS,150,151,559,72,0.052897453,0.6
,,,,,,
eGFBS,188,183,729,72,0.147607327,0.7
,,,,,,
eGFBS,144,145,516,72,0.122094393,0.8
,,,,,,
eGFBS,144,145,279,72,0.010038376,0.1
,,,,,,
eGFBS,162,163,436,72,0.017560005,0.2
,,,,,,
eGFBS,150,151,381,72,0.015999079,0.3
,,,,,,
eGFBS,162,163,435,72,0.026879549,0.4
,,,,,,
eGFBS,144,145,349,72,0.02642107,0.5
,,,,,,
eGFBS,162,163,542,72,0.054456234,0.6
,,,,,,
eGFBS,198,187,686,72,0.208817959,0.7
,,,,,,
eGFBS,194,183,760,72,0.266704559,0.8
,,,,,,
eGFBS,144,145,273,72,0.007876635,0.1
,,,,,,
eGFBS,150,151,362,72,0.01295495,0.2
,,,,,,
eGFBS,150,151,381,72,0.015946388,0.3
,,,,,,
eGFBS,162,163,469,72,0.027895689,0.4
,,,,,,
eGFBS,202,191,607,72,0.063786745,0.5
,,,,,,
eGFBS,196,185,633,72,0.086678505,0.6
,,,,,,
eGFBS,198,187,721,72,0.15576148,0.7
,,,,,,
eGFBS,198,187,776,72,0.271352053,0.8
,,,,,,
eGFBS,144,145,264,72,0.007973194,0.1
,,,,,,
eGFBS,150,151,336,72,0.010963917,0.2
,,,,,,
eGFBS,150,151,370,72,0.016941786,0.3
,,,,,,
eGFBS,144,145,325,72,0.016940832,0.4
,,,,,,
eGFBS,192,181,587,72,0.061035872,0.5
,,,,,,
eGFBS,194,183,601,72,0.078735352,0.6
,,,,,,
eGFBS,198,187,746,72,0.165299654,0.7
,,,,,,
eGFBS,172,167,780,72,0.309071064,0.8
,,,,,,
GBFS,160,161,288,80,0.005980015,0
,,,,,,
eGFBS,160,161,313,80,0.009042263,0.1
,,,,,,
eGFBS,160,161,352,80,0.011060238,0.2
,,,,,,
eGFBS,160,161,386,80,0.018002272,0.3
,,,,,,
eGFBS,158,159,369,80,0.018057585,0.4
,,,,,,
eGFBS,168,169,404,80,0.025920868,0.5
,,,,,,
eGFBS,172,167,574,80,0.075267315,0.6
,,,,,,
eGFBS,160,161,533,80,0.092815876,0.7
,,,,,,
eGFBS,164,165,530,80,0.134815931,0.8
,,,,,,
eGFBS,160,161,314,80,0.007980585,0.1
,,,,,,
eGFBS,160,161,339,80,0.016386271,0.2
,,,,,,
eGFBS,160,161,364,80,0.015153885,0.3
,,,,,,
eGFBS,160,161,367,80,0.019441843,0.4
,,,,,,
eGFBS,174,175,434,80,0.030967951,0.5
,,,,,,
eGFBS,174,175,473,80,0.045198679,0.6
,,,,,,
eGFBS,168,169,462,80,0.053879261,0.7
,,,,,,
eGFBS,170,165,702,80,0.213623047,0.8
,,,,,,
eGFBS,160,161,309,80,0.009049892,0.1
,,,,,,
eGFBS,160,161,338,80,0.011996269,0.2
,,,,,,
eGFBS,160,161,343,80,0.014943123,0.3
,,,,,,
eGFBS,174,175,548,80,0.038138866,0.4
,,,,,,
eGFBS,160,161,399,80,0.029155731,0.5
,,,,,,
eGFBS,158,159,506,80,0.055371761,0.6
,,,,,,
eGFBS,164,165,654,80,0.123001099,0.7
,,,,,,
eGFBS,168,169,672,80,0.224630833,0.8
,,,,,,
eGFBS,160,161,309,80,0.008141041,0.1
,,,,,,
eGFBS,160,161,323,80,0.010041952,0.2
,,,,,,
eGFBS,160,161,350,80,0.015466928,0.3
,,,,,,
eGFBS,160,161,351,80,0.018935204,0.4
,,,,,,
eGFBS,160,161,397,80,0.028069019,0.5
,,,,,,
eGFBS,168,169,417,80,0.033951998,0.6
,,,,,,
eGFBS,160,161,618,80,0.093695879,0.7
,,,,,,
eGFBS,162,163,610,80,0.191252708,0.8
,,,,,,
eGFBS,160,161,313,80,0.009252071,0.1
,,,,,,
eGFBS,158,159,352,80,0.013062477,0.2
,,,,,,
eGFBS,160,161,353,80,0.01494503,0.3
,,,,,,
eGFBS,168,169,367,80,0.019913912,0.4
,,,,,,
eGFBS,160,161,401,80,0.02797389,0.5
,,,,,,
eGFBS,162,163,432,80,0.041957855,0.6
,,,,,,
eGFBS,160,161,439,80,0.048052311,0.7
,,,,,,
eGFBS,170,171,689,80,0.203210831,0.8
,,,,,,
eGFBS,160,161,312,80,0.008974314,0.1
,,,,,,
eGFBS,160,161,327,80,0.010967016,0.2
,,,,,,
eGFBS,168,169,336,80,0.013953209,0.3
,,,,,,
eGFBS,166,161,375,80,0.019449711,0.4
,,,,,,
eGFBS,160,161,395,80,0.026902914,0.5
,,,,,,
eGFBS,160,161,406,80,0.037951231,0.6
,,,,,,
eGFBS,160,161,509,80,0.069727659,0.7
,,,,,,
eGFBS,160,161,623,80,0.144545078,0.8
,,,,,,
eGFBS,160,161,306,80,0.009111643,0.1
,,,,,,
eGFBS,160,161,343,80,0.012955666,0.2
,,,,,,
eGFBS,160,161,334,80,0.01494956,0.3
,,,,,,
eGFBS,160,161,377,80,0.019937515,0.4
,,,,,,
eGFBS,160,161,408,80,0.02599144,0.5
,,,,,,
eGFBS,168,169,442,80,0.036867857,0.6
,,,,,,
eGFBS,194,183,662,80,0.113497257,0.7
,,,,,,
eGFBS,164,165,551,80,0.138344288,0.8
,,,,,,
eGFBS,160,161,312,80,0.00797081,0.1
,,,,,,
eGFBS,160,161,325,80,0.009963512,0.2
,,,,,,
eGFBS,160,161,349,80,0.016931772,0.3
,,,,,,
eGFBS,164,165,380,80,0.020931482,0.4
,,,,,,
eGFBS,160,161,381,80,0.028901577,0.5
,,,,,,
eGFBS,164,165,552,80,0.065325737,0.6
,,,,,,
eGFBS,166,161,464,80,0.055807114,0.7
,,,,,,
eGFBS,160,161,582,80,0.130145073,0.8
,,,,,,
eGFBS,160,161,307,80,0.007992506,0.1
,,,,,,
eGFBS,162,163,333,80,0.0123353,0.2
,,,,,,
eGFBS,160,161,334,80,0.014949799,0.3
,,,,,,
eGFBS,160,161,380,80,0.021930456,0.4
,,,,,,
eGFBS,160,161,471,80,0.038869381,0.5
,,,,,,
eGFBS,158,159,427,80,0.03985858,0.6
,,,,,,
eGFBS,164,165,638,80,0.116869688,0.7
,,,,,,
eGFBS,164,165,576,80,0.148650169,0.8
,,,,,,
eGFBS,160,161,312,80,0.009055853,0.1
,,,,,,
eGFBS,174,175,359,80,0.013954163,0.2
,,,,,,
eGFBS,160,161,365,80,0.015944958,0.3
,,,,,,
eGFBS,166,161,372,80,0.018309355,0.4
,,,,,,
eGFBS,160,161,382,80,0.036777496,0.5
,,,,,,
eGFBS,168,169,407,80,0.035890579,0.6
,,,,,,
eGFBS,158,159,528,80,0.083719015,0.7
,,,,,,
eGFBS,164,159,476,80,0.082401752,0.8
,,,,,,
GBFS,216,217,455,88,0.009962082,0
,,,,,,
eGFBS,218,219,537,88,0.019938469,0.1
,,,,,,
eGFBS,216,217,558,88,0.021924496,0.2
,,,,,,
eGFBS,214,215,548,88,0.02790451,0.3
,,,,,,
eGFBS,216,217,588,88,0.038975477,0.4
,,,,,,
eGFBS,208,209,652,88,0.061313152,0.5
,,,,,,
eGFBS,196,191,608,88,0.058957577,0.6
,,,,,,
eGFBS,210,211,814,88,0.185273886,0.7
,,,,,,
eGFBS,204,205,908,88,0.323319197,0.8
,,,,,,
eGFBS,216,217,516,88,0.016941309,0.1
,,,,,,
eGFBS,218,219,571,88,0.027017355,0.2
,,,,,,
eGFBS,216,217,576,88,0.034872293,0.3
,,,,,,
eGFBS,210,211,624,88,0.048933744,0.4
,,,,,,
eGFBS,222,223,654,88,0.069409609,0.5
,,,,,,
eGFBS,208,209,692,88,0.131546736,0.6
,,,,,,
eGFBS,196,191,654,88,0.173294067,0.7
,,,,,,
eGFBS,210,211,871,88,0.329161406,0.8
,,,,,,
eGFBS,216,217,505,88,0.013944149,0.1
,,,,,,
eGFBS,218,219,573,88,0.023919821,0.2
,,,,,,
eGFBS,216,217,623,88,0.039876223,0.3
,,,,,,
eGFBS,218,219,634,88,0.055290937,0.4
,,,,,,
eGFBS,218,219,685,88,0.069633722,0.5
,,,,,,
eGFBS,210,211,759,88,0.124010801,0.6
,,,,,,
eGFBS,210,211,774,88,0.176643133,0.7
,,,,,,
eGFBS,196,191,780,88,0.245653391,0.8
,,,,,,
eGFBS,218,219,541,88,0.01994729,0.1
,,,,,,
eGFBS,218,219,564,88,0.026925087,0.2
,,,,,,
eGFBS,216,217,602,88,0.036874533,0.3
,,,,,,
eGFBS,222,223,618,88,0.043550491,0.4
,,,,,,
eGFBS,216,217,663,88,0.059863329,0.5
,,,,,,
eGFBS,218,219,742,88,0.149818182,0.6
,,,,,,
eGFBS,210,211,765,88,0.16998744,0.7
,,,,,,
eGFBS,206,207,857,88,0.290168762,0.8
,,,,,,
eGFBS,218,219,550,88,0.018935919,0.1
,,,,,,
eGFBS,218,219,558,88,0.023918152,0.2
,,,,,,
eGFBS,196,185,536,88,0.024205208,0.3
,,,,,,
eGFBS,216,217,561,88,0.036036015,0.4
,,,,,,
eGFBS,218,219,676,88,0.065063477,0.5
,,,,,,
eGFBS,218,219,727,88,0.125896454,0.6
,,,,,,
eGFBS,212,213,800,88,0.167061567,0.7
,,,,,,
eGFBS,196,191,798,88,0.237087011,0.8
,,,,,,
eGFBS,218,219,532,88,0.018935919,0.1
,,,,,,
eGFBS,218,219,582,88,0.029102802,0.2
,,,,,,
eGFBS,216,217,582,88,0.032875776,0.3
,,,,,,
eGFBS,218,219,630,88,0.048360825,0.4
,,,,,,
eGFBS,214,215,675,88,0.07184267,0.5
,,,,,,
eGFBS,210,211,750,88,0.121978045,0.6
,,,,,,
eGFBS,208,209,773,88,0.178401232,0.7
,,,,,,
