Algorithm,Solution Cost,Solution Length,Expanded Nodes,Size,Time
GBFS,14,15,21,8,0
,,,,,
eGFBS,14,15,21,8,0
,,,,,
eGFBS,14,15,21,8,0
,,,,,
eGFBS,14,15,19,8,0.000996113
,,,,,
eGFBS,14,15,22,8,0.000996828
,,,,,
eGFBS,14,15,22,8,0
,,,,,
eGFBS,14,15,22,8,0
,,,,,
eGFBS,14,15,21,8,0
,,,,,
eGFBS,14,15,22,8,0.000132799
,,,,,
eGFBS,14,15,22,8,0.001030445
,,,,,
eGFBS,14,15,22,8,0
,,,,,
IDS,14,15,183,8,0.00072813
,,,,,
GBFS,34,35,56,16,0.000997066
,,,,,
eGFBS,34,35,74,16,0.001050472
,,,,,
eGFBS,38,39,77,16,0.000403643
,,,,,
eGFBS,34,35,76,16,0.000997543
,,,,,
eGFBS,36,37,88,16,0.000997305
,,,,,
eGFBS,34,35,69,16,0.000997305
,,,,,
eGFBS,38,39,76,16,0.000996113
,,,,,
eGFBS,34,35,71,16,0.000999212
,,,,,
eGFBS,30,31,71,16,0.000997305
,,,,,
eGFBS,30,31,87,16,0.000996351
,,,,,
eGFBS,34,35,79,16,0.00099659
,,,,,
IDS,40,41,3025,16,0.013953209
,,,,,
GBFS,56,51,96,24,0.000996828
,,,,,
eGFBS,46,47,115,24,0.002015829
,,,,,
eGFBS,56,51,114,24,0.001625061
,,,,,
eGFBS,56,51,113,24,0.001027822
,,,,,
eGFBS,54,49,106,24,0.002023935
,,,,,
eGFBS,58,53,124,24,0.002002478
,,,,,
eGFBS,54,49,124,24,0.001055002
,,,,,
eGFBS,52,47,130,24,0.001498461
,,,,,
eGFBS,48,49,126,24,0.002021074
,,,,,
eGFBS,56,51,116,24,0.001021385
,,,,,
eGFBS,48,49,112,24,0.001646042
,,,,,
IDS,54,55,6192,24,0.027934313
,,,,,
GBFS,76,65,108,32,0.000997066
,,,,,
eGFBS,80,69,166,32,0.003045559
,,,,,
eGFBS,98,81,180,32,0.003018141
,,,,,
eGFBS,80,69,169,32,0.00202322
,,,,,
eGFBS,72,67,163,32,0.002019882
,,,,,
eGFBS,76,65,163,32,0.001993418
,,,,,
eGFBS,80,69,179,32,0.00301981
,,,,,
eGFBS,80,69,165,32,0.002023697
,,,,,
eGFBS,80,69,177,32,0.003533125
,,,,,
eGFBS,74,69,186,32,0.004036188
,,,,,
eGFBS,76,65,156,32,0.002075672
,,,,,
IDS,82,83,17538,32,0.132752657
,,,,,
GBFS,82,83,165,40,0.001003265
,,,,,
eGFBS,76,77,152,40,0.002062798
,,,,,
eGFBS,84,85,196,40,0.003013849
,,,,,
eGFBS,86,87,201,40,0.003010273
,,,,,
eGFBS,82,83,208,40,0.003014326
,,,,,
eGFBS,82,83,203,40,0.003016233
,,,,,
eGFBS,78,79,204,40,0.002028465
,,,,,
eGFBS,82,83,222,40,0.004013062
,,,,,
eGFBS,76,77,159,40,0.002033949
,,,,,
eGFBS,82,83,181,40,0.003018856
,,,,,
eGFBS,84,85,209,40,0.004016399
,,,,,
IDS,110,111,44699,40,0.280938625
,,,,,
GBFS,106,101,152,48,0.004983425
,,,,,
eGFBS,100,101,216,48,0.019932985
,,,,,
eGFBS,106,101,229,48,0.023919106
,,,,,
eGFBS,100,101,215,48,0.022922516
,,,,,
eGFBS,100,101,210,48,0.018935442
,,,,,
eGFBS,108,103,239,48,0.028902531
,,,,,
eGFBS,96,97,208,48,0.018934965
,,,,,
eGFBS,98,99,274,48,0.031892538
,,,,,
eGFBS,106,101,238,48,0.024920464
,,,,,
eGFBS,100,101,210,48,0.009965658
,,,,,
eGFBS,106,101,215,48,0.00897193
,,,,,
IDS,108,109,44040,48,1.018678427
,,,,,
GBFS,120,121,285,56,0.005007029
,,,,,
eGFBS,126,121,336,56,0.02532959
,,,,,
eGFBS,114,115,349,56,0.044565439
,,,,,
eGFBS,126,121,338,56,0.025196791
,,,,,
eGFBS,116,117,327,56,0.038879633
,,,,,
eGFBS,126,121,324,56,0.033978462
,,,,,
eGFBS,116,117,350,56,0.059817314
,,,,,
eGFBS,122,117,351,56,0.043230772
,,,,,
eGFBS,120,121,357,56,0.068724632
,,,,,
eGFBS,114,115,341,56,0.03884697
,,,,,
eGFBS,114,115,392,56,0.056377888
,,,,,
IDS,308,309,259864,56,13.5927546
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GBFS,162,163,327,64,0.00885582
,,,,,
eGFBS,158,159,457,64,0.054923296
,,,,,
eGFBS,158,159,504,64,0.093966722
,,,,,
eGFBS,158,159,435,64,0.064781666
,,,,,
